1.9,0
1.915,8.16E-06
1.927,1.61E-05
1.934,1.59E-04
1.939,4.95E-04
1.948,5.38E-03
1.957,1.19E-02
1.962,1.97E-02
1.969,4.22E-02
1.976,8.73E-02
1.981,0.152759
1.989,0.248173
1.99,0.190245
1.998,0.233884
2.008,0.294551
2.014,0.398217
2.019,0.336603
2.028,0.620746
2.037,0.764986
2.045,0.746412
2.061,0.625063
2.072,0.725492
2.075,0.689468
2.082,0.787906
2.089,0.818135
2.099,0.822833
2.106,0.863294
2.113,0.877829
2.12,0.854895
2.124,0.895329
2.138,0.918862
2.145,0.926769
2.155,0.926657
2.169,0.900943
2.176,0.922819
2.185,0.842755
2.197,0.945854
2.208,0.980363
2.213,0.987926
2.218,0.984788
2.232,0.964659
2.237,0.981633
2.248,0.983449
2.256,0.961316
2.26,0.979226
2.263,1
2.265,0.963168
2.27,0.981193
2.272,0.968068
2.276,0.910892
2.277,0.982136
2.281,0.889606
2.284,0.891766
2.286,0.94238
2.291,0.840424
2.293,0.804239
2.295,0.70767
2.297,0.657619
2.299,0.560736
2.306,0.443653
2.311,0.348239
2.316,0.230228
2.32,0.162597
2.325,0.135967
2.328,9.21E-02
2.335,6.24E-02
2.339,4.31E-02
2.344,3.40E-02
2.346,3.10E-02
2.352,1.18E-02
2.361,6.83E-03
2.363,7.49E-04
2.37,3.00E-03
2.375,2.10E-03
2.384,4.06E-04
2.399,0
